Feature Name,TP Avg,TN Avg,FP Avg,FN Avg
LGALS7B,-0.15611064102340944,0.1805116791045705,-0.2288330078235148,-0.11126903400255098
PLCG2,-0.026081685045259238,0.05664160495177452,-0.3570906480506885,-0.06478761815441059
LY6D,-0.011283543206609372,0.07610218742204583,-0.11864953404898917,-0.26535610917165353
S100P,0.170486065161671,-0.16007123946917343,0.003913532402682821,-0.32243271503618876
LSP1,0.17967191806392457,-0.21095453556435045,0.024464170521987155,-0.14972970465819774
IGHA1,-0.1576906562329712,0.2136985860249594,0.0011556854353223318,-0.18692789943648228
MMP10,-0.21225946089028533,0.22218962421237945,-0.045707226525940316,0.01729956125651614
MSMB,0.1841899012346706,-0.17695197079690314,-0.11552343244254472,-0.04041653970835483
MUC20-OT1,-0.2701331609076594,0.29604938172429685,-0.41015881653982383,-0.25066881832232213
CYP1B1,0.30332835281078757,-0.2903716333847575,-0.07333997021815988,-0.10782236213787408
